Order Type,Order Number,Datetime
short,3000,07.02.2023 16:34:21
short,3000,07.02.2023 17:42:04
short,3000,07.02.2023 17:46:02
short,3000,07.02.2023 17:52:15
short,3000,07.02.2023 18:01:12
long,3000,07.02.2023 18:15:59
long,3000,07.02.2023 18:24:38
long,3000,07.02.2023 18:30:05
short,3000,07.02.2023 18:37:01
short,3000,07.02.2023 18:41:53
short,3000,07.02.2023 19:03:04
short,3000,07.02.2023 20:30:14
short,3000,07.02.2023 20:47:36
short,3000,08.02.2023 01:12:45
long,3000,08.02.2023 05:43:56
long,3000,08.02.2023 10:13:50
long,3000,08.02.2023 12:52:53
long,3000,08.02.2023 13:24:59
long,3000,08.02.2023 14:54:13
long,3000,08.02.2023 15:02:01
long,3000,08.02.2023 15:09:16
long,3000,08.02.2023 15:12:52
long,3000,08.02.2023 15:30:41
long,3000,08.02.2023 15:46:16
long,3000,08.02.2023 16:00:11
long,3000,08.02.2023 16:08:15
long,3000,08.02.2023 16:11:50
long,3000,08.02.2023 16:15:15
long,3000,08.02.2023 16:20:16
long,3000,08.02.2023 16:24:44
short,3000,08.02.2023 16:42:12
short,3000,08.02.2023 16:57:02
long,3000,08.02.2023 18:48:55
short,3000,08.02.2023 21:44:37
long,3000,09.02.2023 02:53:16
long,3000,09.02.2023 02:57:10
long,3000,09.02.2023 03:01:31
long,3000,09.02.2023 03:05:14
long,3000,09.02.2023 04:03:37
short,3000,09.02.2023 06:46:31
short,3000,09.02.2023 06:50:31
long,3000,09.02.2023 12:36:20
short,3000,09.02.2023 12:49:17
long,3000,09.02.2023 15:27:29
long,3000,09.02.2023 15:35:09
long,3000,09.02.2023 16:23:40
long,3000,09.02.2023 16:36:24
long,3000,09.02.2023 16:57:26
long,3000,09.02.2023 17:36:04
long,3000,09.02.2023 19:10:43
long,3000,09.02.2023 19:19:09
long,3000,09.02.2023 19:24:17
long,3000,09.02.2023 19:29:10
long,3000,09.02.2023 19:32:25
long,3000,09.02.2023 19:48:26
long,3000,09.02.2023 20:19:38
short,3000,09.02.2023 20:45:43
long,3000,09.02.2023 21:04:26
long,3000,09.02.2023 21:30:40
short,3000,09.02.2023 22:16:55
long,3000,09.02.2023 22:54:40
short,3000,10.02.2023 02:56:21
long,3000,10.02.2023 04:07:38
long,3000,10.02.2023 05:38:35
short,3000,10.02.2023 07:49:54
short,3000,10.02.2023 07:55:23
long,3000,10.02.2023 10:51:24
long,3000,10.02.2023 11:38:42
long,3000,10.02.2023 11:51:55
long,3000,10.02.2023 12:09:07
short,3000,10.02.2023 14:35:36
long,3000,10.02.2023 15:43:31
short,3000,10.02.2023 16:02:26
long,3000,10.02.2023 16:26:29
long,3000,10.02.2023 21:10:28
long,3000,10.02.2023 21:41:05
short,3000,11.02.2023 00:49:31
short,3000,11.02.2023 03:13:46
short,3000,11.02.2023 12:20:29
short,3000,11.02.2023 21:45:22
short,3000,11.02.2023 21:49:32
short,3000,11.02.2023 22:40:24
short,3000,11.02.2023 23:31:25
long,3000,12.02.2023 13:43:16
short,3000,12.02.2023 14:40:47
long,3000,12.02.2023 21:28:27
long,3000,12.02.2023 21:34:40
long,3000,12.02.2023 21:38:15
long,3000,12.02.2023 21:43:23
long,3000,12.02.2023 21:50:27
long,3000,12.02.2023 22:08:21
short,3000,12.02.2023 22:35:13
long,3000,13.02.2023 00:39:15
short,3000,13.02.2023 00:48:44
long,3000,13.02.2023 01:33:07
long,3000,13.02.2023 02:32:14
short,3000,13.02.2023 03:22:18
short,3000,13.02.2023 07:20:23
long,3000,13.02.2023 08:24:56
long,3000,13.02.2023 08:42:53
long,3000,13.02.2023 09:18:23
long,3000,13.02.2023 09:23:22
long,3000,13.02.2023 10:22:00
long,3000,13.02.2023 13:53:30
long,3000,13.02.2023 16:28:30
long,3000,13.02.2023 16:31:59
long,3000,13.02.2023 16:37:25
long,3000,13.02.2023 17:56:23
short,3000,13.02.2023 18:01:35
short,3000,13.02.2023 18:31:55
short,3000,13.02.2023 23:17:04
short,3000,13.02.2023 23:25:43
short,3000,13.02.2023 23:29:21
long,3000,14.02.2023 01:30:21
short,3000,14.02.2023 09:52:20
long,3000,14.02.2023 13:30:59
long,3000,14.02.2023 13:34:27
short,3000,14.02.2023 13:36:41
long,3000,14.02.2023 13:39:00
short,3000,14.02.2023 14:41:26
short,3000,14.02.2023 14:50:00
short,3000,14.02.2023 14:56:05
short,3000,14.02.2023 15:00:02
